collected_utc,source,published,title,link,words,file
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 19:02:16 +0500",Markets to close at 9pm as govt reintroduces austerity measures for fuel conservation,https://www.dawn.com/news/2030636/markets-to-close-at-9pm-as-govt-reintroduces-austerity-measures-for-fuel-conservation,800,data/articles/2026-09-17/dawn-markets-to-close-at-9pm-as-bfe959b1.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 18:30:11 +0500",Salman Akram Raja says released after PTI claims detention by Islamabad police,https://www.dawn.com/news/2030635/salman-akram-raja-says-released-after-pti-claims-detention-by-islamabad-police,457,data/articles/2026-09-17/dawn-salman-akram-raja-says-released-after-d9db0f18.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 19:09:25 +0500",'A chief minister's trips are never personal': Maryam claps back at criticism over use of govt aircraft,https://www.dawn.com/news/2030633/a-chief-ministers-trips-are-never-personal-maryam-claps-back-at-criticism-over-use-of-govt-aircraft,1042,data/articles/2026-09-17/dawn-a-chief-ministers-trips-are-never-e16ec6d6.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 18:12:26 +0500","UN mission finds grounds to believe US committed war crimes in Iran with strikes on school, sports centre",https://www.dawn.com/news/2030616/un-mission-finds-grounds-to-believe-us-committed-war-crimes-in-iran-with-strikes-on-school-sports-centre,607,data/articles/2026-09-17/dawn-un-mission-finds-grounds-to-believe-6e238166.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 18:57:49 +0500","SC suspends Imaan, Hadi's sentences in controversial social media posts case, orders their release",https://www.dawn.com/news/2030611/sc-suspends-imaan-hadis-sentences-in-controversial-social-media-posts-case-orders-their-release,1134,data/articles/2026-09-17/dawn-sc-suspends-imaan-hadis-sentences-in-ea5909c7.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 19:54:47 +0500",Pakistan ranked among bottom three in WEF's Global Gender Gap Report 2026,https://www.dawn.com/news/2030632/pakistan-ranked-among-bottom-three-in-wefs-global-gender-gap-report-2026,560,data/articles/2026-09-17/dawn-pakistan-ranked-among-bottom-three-in-f934e810.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 20:02:34 +0500","Two siblings’ bodies recovered in Mirpur canal, search for third child called off",https://www.dawn.com/news/2030629/two-siblings-bodies-recovered-in-mirpur-canal-search-for-third-child-called-off,503,data/articles/2026-09-17/dawn-two-siblings-bodies-recovered-in-mirpur-cc71bffd.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 14:44:02 +0500","Pakistan eyes bigger China swap line, expects US financing decision soon",https://www.dawn.com/news/2030620/pakistan-eyes-bigger-china-swap-line-expects-us-financing-decision-soon,524,data/articles/2026-09-17/dawn-pakistan-eyes-bigger-china-swap-line-06564185.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 14:04:48 +0500","Pakistan committed to implementing Saudi defence pact, Makkah agreement: FO",https://www.dawn.com/news/2030603/pakistan-committed-to-implementing-saudi-defence-pact-makkah-agreement-fo,927,data/articles/2026-09-17/dawn-pakistan-committed-to-implementing-saudi-defence-6a43e3b0.md
2026-09-17 15:19:06 UTC,Dawn,"Thu, 17 Sep 2026 14:34:12 +0500","US drone maker Powerus says it signed MoU with Pakistan Army, gets initial order",https://www.dawn.com/news/2030619/us-drone-maker-powerus-says-it-signed-mou-with-pakistan-army-gets-initial-order,407,data/articles/2026-09-17/dawn-us-drone-maker-powerus-says-it-0df3c7c1.md
2026-09-17 15:19:06 UTC,BBC Urdu,,طائف میں ’حوثی ڈرون‘ کا ملبہ گِرنے سے یمنی شہری ہلاک، پاکستانی شہری شدید زخمی,https://www.bbc.co.uk/urdu/live/cw14dr7j52m7t?at_medium=RSS&at_campaign=rss,708,data/articles/2026-09-17/bbc-urdu-619c2a1b.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 13:43:33 GMT",30 روپے کے شاپنگ بیگ پر کھاڈی کو جرمانہ: ’برانڈ نے میرے پیسوں سے اپنی تشہیر کی‘,https://www.bbc.com/urdu/articles/cqde042elg9zo?at_medium=RSS&at_campaign=rss,1090,data/articles/2026-09-17/bbc-urdu-30-a2572c51.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 11:09:35 GMT",’چین اور پاکستان کے درمیان کوئی سرحد نہیں‘: جوائنٹ بارڈر کمیشن کیا ہے جس کے فعال ہونے پر انڈیا نے اعتراض اٹھایا؟,https://www.bbc.com/urdu/articles/crd94gqwlkz1o?at_medium=RSS&at_campaign=rss,1607,data/articles/2026-09-17/bbc-urdu-485f6810.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 12:11:51 GMT",محمد رضوان کی اپنے خلاف تحقیقات روکنے کی درخواست خارج: ’رات ایک بجے ہوٹل لابی میں بُلا کر موبائل فون ضبط کیا گیا‘,https://www.bbc.com/urdu/articles/cmzxz4kxeg2ko?at_medium=RSS&at_campaign=rss,1442,data/articles/2026-09-17/bbc-urdu-cd9973ce.md
2026-09-17 15:19:06 UTC,BBC Urdu,"Thu, 17 Sep 2026 10:01:45 GMT",سپریم کورٹ کا ایمان مزاری اور ہادی چٹھہ کی رہائی کا حکم: ’دونوں وکیل ہیں، ہم ان کی عزت رکھ رہے ہیں‘,https://www.bbc.com/urdu/articles/c07le24xn7ro?at_medium=RSS&at_campaign=rss,2370,data/articles/2026-09-17/bbc-urdu-0099626e.md
